code,name
NV.AGR.EMPL.KD,ag_gdp_percap,
NV.AGR.TOTL.ZS,ag_gdp_perc,
NV.AGR.TOTL.KD,ag_gdp,
SL.AGR.EMPL.ZS,ag_employment_perc,
NY.GDP.PCAP.KD,gdp_percap,
NY.GDP.MKTP.KD,gdp,
SP.POP.TOTL,pop,
SN.ITK.MSFI.ZS,foodinsec_modsev_perc,
SN.ITK.SVFI.ZS,foodinsec_sev,
SL.TLF.CACT.ZS,labor_rate,
SI.POV.MDIM,pov_multi,
SI.POV.DDAY,pov_190,
SI.POV.LMIC,pov_320,
SI.POV.UMIC,pov_550,
SI.POV.NAHC,pov_nat,
SI.SPR.PCAP.ZG,cons_growth_tot,
SI.SPR.PC40.ZG,cons_growth_bot40,
RL.PER.RNK,rule_of_law
PV.PER.RNK,stability
CC.PER.RNK,corruption
GE.PER.RNK,gov_effect
